,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Country
58,Vaini,-21.2,-175.2,75.2,94,90,13.87,2020-12-18 05:36:39,TO
59,Canon City,38.44,-105.24,30.2,68,1,9.66,2020-12-18 05:35:15,US
60,Gushikawa,26.35,127.87,64.4,88,90,13.87,2020-12-18 05:36:40,JP
62,Coihaique,-45.58,-72.07,55.4,62,90,4.7,2020-12-18 05:36:40,CL
63,Hithadhoo,-0.6,73.08,81.81,74,14,11.81,2020-12-18 05:36:40,MV
64,Kapaa,22.08,-159.32,77,78,75,13.87,2020-12-18 05:36:40,US
65,Castro,-24.79,-50.01,61.65,97,31,1.57,2020-12-18 05:36:40,CL
68,College,64.86,-147.8,-9.4,56,1,9.17,2020-12-18 05:36:40,US
69,Rocha,-34.48,-54.33,64.4,95,26,9.46,2020-12-18 05:36:40,UY
70,Dingzhou,38.51,115,35.6,31,0,6.71,2020-12-18 05:36:02,CN
71,Komsomolskiy,40.43,71.72,33.8,59,43,1.07,2020-12-18 05:36:40,RU
73,Provideniya,64.38,-173.3,12.2,72,75,33.55,2020-12-18 05:36:40,RU
74,Quatre Cocos,-20.21,57.76,82,69,75,18.34,2020-12-18 05:36:40,MU
75,Carnarvon,-24.87,113.63,80.6,69,0,17.22,2020-12-18 05:36:40,AU
77,Puerto Ayora,-0.74,-90.35,71.01,95,18,6.73,2020-12-18 05:36:41,EC
81,Maceio,-9.67,-35.74,73.4,100,0,2.24,2020-12-18 05:36:41,BR
82,Kupang,-10.17,123.58,86,70,75,9.17,2020-12-18 05:36:41,ID
83,Tiksi,71.69,128.87,-19.05,88,100,5.75,2020-12-18 05:36:41,RU
84,Leh,34.17,77.58,6.66,62,0,1.14,2020-12-18 05:36:42,IN
85,Saint-Philippe,-21.36,55.77,82.4,69,0,12.75,2020-12-18 05:36:42,RE
86,Kodiak,57.79,-152.41,33.8,80,90,20.8,2020-12-18 05:36:42,US
87,Butaritari,3.07,172.79,81.23,81,95,12.03,2020-12-18 05:36:42,KI
88,New Norfolk,-42.78,147.06,66,38,50,4,2020-12-18 05:32:05,AU
89,Liverpool,53.41,-2.98,53.6,93,97,18.34,2020-12-18 05:36:42,CA
90,Flinders,-34.58,150.86,73,85,91,1.01,2020-12-18 05:36:42,AU
91,Atuona,-9.8,-139.03,78.62,76,30,17.25,2020-12-18 05:36:42,PF
95,Severo-Kurilsk,50.68,156.12,29.95,93,58,5.37,2020-12-18 05:36:42,RU
96,Thompson,55.74,-97.86,-2.2,84,90,8.05,2020-12-18 05:36:42,CA
97,Port Moresby,-9.44,147.18,91.4,59,40,17.22,2020-12-18 05:36:42,PG
100,Mataura,-46.19,168.86,64,74,100,7,2020-12-18 05:36:42,PF
101,Buala,-8.14,159.59,83.84,78,78,8.25,2020-12-18 05:36:42,SB
102,Bluff,-46.6,168.33,64,74,100,7,2020-12-18 05:36:42,NZ
103,Palmer,42.16,-72.33,19.99,92,91,4.85,2020-12-18 05:36:43,US
105,Nanortalik,60.14,-45.24,29.43,97,36,3.74,2020-12-18 05:36:43,GL
109,Iqaluit,63.75,-68.51,5,71,90,18.34,2020-12-18 05:36:43,CA
111,Moerai,-22.43,-151.33,79.45,79,100,11.74,2020-12-18 05:36:44,PF
113,Port-Gentil,-0.72,8.78,78.8,94,20,3.36,2020-12-18 05:36:44,GA
116,Palana,59.12,159.97,15.06,93,100,6.8,2020-12-18 05:36:44,RU
118,Nikolskoye,59.7,30.79,30.2,92,90,8.95,2020-12-18 05:36:44,RU
119,Olinda,-8.01,-34.86,78.8,69,75,8.05,2020-12-18 05:33:35,BR
121,Oussouye,12.48,-16.55,69.8,88,0,2.24,2020-12-18 05:36:44,SN
123,Chuy,-33.7,-53.46,65.95,97,59,6.64,2020-12-18 05:36:44,UY
124,Gisors,49.28,1.78,48.2,87,90,11.41,2020-12-18 05:36:44,FR
125,Kvarkeno,52.08,59.73,25.95,97,100,15.66,2020-12-18 05:36:44,RU
126,Bow Island,49.87,-111.37,21.2,92,94,10.29,2020-12-18 05:36:44,CA
127,Alofi,-19.06,-169.92,76.33,86,100,14.43,2020-12-18 05:36:44,NU
128,Melnikovo,56.56,84.08,19,83,92,8.01,2020-12-18 05:36:44,RU
129,Mar Del Plata,-38,-57.56,68,77,0,8.05,2020-12-18 05:36:45,AR
131,Zarya,55.76,38.1,33.8,74,75,8.95,2020-12-18 05:36:45,RU
135,Bida,9.08,6.02,67.98,26,37,3.49,2020-12-18 05:36:46,NG
136,Merrill,45.18,-89.68,21.99,84,1,5.28,2020-12-18 05:36:46,US
138,Saldanha,-33.01,17.94,60.8,72,0,5.82,2020-12-18 05:36:46,ZA
139,Rustenburg,-25.67,27.24,71.78,63,100,9.35,2020-12-18 05:36:46,ZA
142,Arlit,18.74,7.39,64.35,27,7,5.39,2020-12-18 05:36:46,NE
145,Vestmannaeyjar,63.44,-20.27,41.83,75,91,12.91,2020-12-18 05:36:46,IS
147,Hobart,-42.88,147.33,69.01,72,40,9.17,2020-12-18 05:36:21,AU
148,San Rafael Del Sur,11.85,-86.44,77,83,40,9.17,2020-12-18 05:36:46,NI
149,Urengoy,65.97,78.37,-4.95,91,98,13.98,2020-12-18 05:36:46,RU
154,Khatanga,71.97,102.5,-23.58,80,0,11.72,2020-12-18 05:36:46,RU
155,Alindao,5.03,21.21,73.2,32,5,2.53,2020-12-18 05:36:47,CF
156,Hambantota,6.12,81.12,86,74,40,9.17,2020-12-18 05:36:47,LK
160,Igarka,67.47,86.58,5.61,94,100,14.65,2020-12-18 05:36:47,RU
162,Hilo,19.73,-155.09,73.4,88,90,9.17,2020-12-18 05:35:17,US
166,Ribeira Grande,38.52,-28.7,61.77,70,98,25.64,2020-12-18 05:36:48,PT
168,Ajaccio,42,8.92,46.4,87,0,10.29,2020-12-18 05:36:48,FR
169,Ambatofinandrahana,-20.55,46.8,75.83,59,1,2.73,2020-12-18 05:34:28,MG
170,Chokurdakh,70.63,147.92,-9.04,90,99,11.77,2020-12-18 05:36:48,RU
171,Puerto Carreno,6.19,-67.49,75.92,87,96,9.26,2020-12-18 05:36:48,CO
173,Berlevag,70.86,29.09,19.4,67,0,21.92,2020-12-18 05:36:48,NO
174,Liku,-0.73,119.89,85.19,60,100,11.12,2020-12-18 05:36:48,WF
175,Dikson,73.51,80.55,-22.88,87,99,18.14,2020-12-18 05:36:48,RU
178,Lakes Entrance,-37.88,147.98,68,53,74,5.01,2020-12-18 05:36:48,AU
180,Losino-Petrovskiy,55.87,38.2,33.8,74,75,8.95,2020-12-18 05:36:48,RU
181,Kamaishi,39.27,141.88,33.8,74,75,6.93,2020-12-18 05:36:48,JP
186,Along,28.17,94.77,63.9,53,98,3.8,2020-12-18 05:36:49,IN
189,Okha,53.57,142.95,9.09,92,97,15.84,2020-12-18 05:36:49,RU
193,Bredasdorp,-34.53,20.04,64.4,72,0,11.25,2020-12-18 05:36:50,ZA
194,Port Alfred,-33.59,26.89,70,81,95,1.01,2020-12-18 05:36:50,ZA
196,Shimoda,34.67,138.95,53.6,46,75,8.05,2020-12-18 05:36:08,JP
198,Khani,41.96,42.96,42.8,100,75,3.36,2020-12-18 05:36:50,RU
202,Belmonte,-15.86,-38.88,73.4,88,75,2.24,2020-12-18 05:36:50,BR
206,Dingle,11,122.67,74.68,92,100,8.23,2020-12-18 05:36:50,IE
208,Lahij,13.17,44.58,75.81,47,13,3.69,2020-12-18 05:36:50,YE
209,Clyde River,70.47,-68.59,-16.6,82,1,2.24,2020-12-18 05:36:50,CA
212,Wanaka,-44.7,169.15,73,38,100,8.99,2020-12-18 05:32:02,NZ
213,Pereira Barreto,-20.64,-51.11,71.73,83,100,5.44,2020-12-18 05:36:51,BR
214,Esperance,-33.87,121.9,71.6,40,3,20.8,2020-12-18 05:36:51,AU
215,Puerto Colombia,10.99,-74.95,80.6,83,0,12.75,2020-12-18 05:36:51,CO
216,Hofn,64.25,-15.21,41.18,89,100,21.72,2020-12-18 05:36:51,IS
218,Zadar,44.12,15.24,39.2,100,40,3.31,2020-12-18 05:33:03,HR
221,Airai,-8.93,125.41,69.1,100,100,3.78,2020-12-18 05:36:51,PW
222,Kununurra,-15.77,128.73,95,56,40,5.82,2020-12-18 05:36:51,AU
223,Yangjiang,21.85,111.97,64,50,38,8.21,2020-12-18 05:36:51,CN
227,Kemijarvi,66.71,27.43,9.86,95,68,5.3,2020-12-18 05:36:51,FI
228,Sur,22.57,59.53,72.99,49,5,3.69,2020-12-18 05:36:51,OM
229,Sitka,57.05,-135.33,44.6,75,90,21.92,2020-12-18 05:36:52,US
231,Tadine,-21.55,167.88,78.37,66,14,15.1,2020-12-18 05:36:52,NC
232,Buribay,51.96,58.16,24.01,97,100,11.16,2020-12-18 05:36:52,RU
233,Kigoma,-4.88,29.63,70.63,89,100,7.72,2020-12-18 05:36:52,TZ
235,Kozhva,65.11,57.05,3.56,94,100,5.55,2020-12-18 05:36:52,RU
237,Channarayapatna,12.9,76.39,77.32,49,4,13.02,2020-12-18 05:36:52,IN
238,Sao Gabriel Da Cachoeira,-0.13,-67.09,73.58,96,100,0.74,2020-12-18 05:36:53,BR
240,Adrar,20.5,-10.07,56.61,53,0,9.42,2020-12-18 05:36:53,DZ
245,Sao Felix Do Xingu,-6.64,-51.99,71.37,91,39,0.87,2020-12-18 05:36:53,BR
248,Soe,-9.86,124.28,75.16,88,100,6.11,2020-12-18 05:36:53,ID
252,Raduzhnyy,62.1,77.47,13.14,96,100,7.11,2020-12-18 05:36:53,RU
253,Rio De Janeiro,-22.9,-43.21,80.01,78,75,2.24,2020-12-18 05:35:13,BR
254,Cuamba,-14.8,36.54,77.23,77,100,5.01,2020-12-18 05:36:53,MZ
256,Kalamazoo,42.25,-85.55,27,79,90,0.92,2020-12-18 05:35:43,US
257,Ambon,-3.7,128.18,93.2,56,40,16.11,2020-12-18 05:36:54,ID
259,Takoradi,4.88,-1.76,78.03,89,45,9.31,2020-12-18 05:36:54,GH
263,Sobolevo,54.43,31.9,32.14,98,100,5.19,2020-12-18 05:36:54,RU
264,Hudson Bay,52.85,-102.38,31.62,98,96,13.44,2020-12-18 05:36:54,CA
265,Makakilo City,21.35,-158.09,77,73,1,4.7,2020-12-18 05:36:55,US
266,Neuquen,-38.95,-68.06,73.4,33,0,8.05,2020-12-18 05:36:55,AR
268,Henties Bay,-22.12,14.28,62.01,92,85,5.48,2020-12-18 05:36:55,NA
271,Manokwari,-0.87,134.08,84.49,74,94,4.72,2020-12-18 05:36:55,ID
272,Faanui,-16.48,-151.75,79.36,79,91,13.27,2020-12-18 05:36:55,PF
273,Lompoc,34.64,-120.46,48.2,93,1,5.82,2020-12-18 05:36:55,US
274,Quelimane,-17.88,36.89,84.2,83,40,5.82,2020-12-18 05:36:55,MZ
275,Bengkulu,-3.8,102.27,82.4,74,99,7.85,2020-12-18 05:36:40,ID
280,Port Elizabeth,-33.92,25.57,69.8,68,75,5.82,2020-12-18 05:33:37,ZA
282,Iralaya,15,-83.23,77.99,85,4,9.35,2020-12-18 05:36:55,HN
284,Granadilla De Abona,28.12,-16.58,62.6,63,20,11.41,2020-12-18 05:36:55,ES
286,Mogadishu,2.04,45.34,77,69,40,5.82,2020-12-18 05:36:55,SO
287,Teocaltiche,21.43,-102.58,55.4,44,5,4.7,2020-12-18 05:36:55,MX
288,Naryan-Mar,67.67,53.09,6.96,93,37,8.28,2020-12-18 05:36:55,RU
289,Ranong,9.97,98.63,86,74,40,4.7,2020-12-18 05:36:56,TH
290,Darab,28.75,54.54,57.07,38,48,1.07,2020-12-18 05:36:57,IR
291,Woodway,31.51,-97.2,44.01,70,0,13.87,2020-12-18 05:36:57,US
294,Romny,50.75,33.47,32.09,98,100,0.87,2020-12-18 05:36:57,UA
295,Inirida,3.87,-67.92,71.76,96,81,1.07,2020-12-18 05:36:57,CO
297,Vostok,46.49,135.88,-3.87,91,100,10.67,2020-12-18 05:36:57,RU
298,Impfondo,1.64,18.07,74.16,83,88,2.91,2020-12-18 05:36:57,CG
